maxpool
latent size single: 16
[14128/15000], training loss: 0.0590
[14136/15000], training loss: 0.0713
[14144/15000], training loss: 0.0761
[14152/15000], training loss: 0.0560
[14160/15000], training loss: 0.0729
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14168/15000], training loss: 0.0623
[14176/15000], training loss: 0.0488
[14184/15000], training loss: 0.0626
[14192/15000], training loss: 0.0501
[14200/15000], training loss: 0.0485
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14208/15000], training loss: 0.0722
[14216/15000], training loss: 0.0715
[14224/15000], training loss: 0.0454
[14232/15000], training loss: 0.0504
[14240/15000], training loss: 0.0523
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14248/15000], training loss: 0.0514
[14256/15000], training loss: 0.0494
[14264/15000], training loss: 0.0570
[14272/15000], training loss: 0.0900
[14280/15000], training loss: 0.0567
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14288/15000], training loss: 0.0658
[14296/15000], training loss: 0.0935
[14304/15000], training loss: 0.0554
[14312/15000], training loss: 0.0588
[14320/15000], training loss: 0.0650
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14328/15000], training loss: 0.0509
[14336/15000], training loss: 0.0766
[14344/15000], training loss: 0.0698
[14352/15000], training loss: 0.0631
[14360/15000], training loss: 0.0652
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14368/15000], training loss: 0.0581
[14376/15000], training loss: 0.0515
[14384/15000], training loss: 0.0719
[14392/15000], training loss: 0.0553
[14400/15000], training loss: 0.0664
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14408/15000], training loss: 0.0483
[14416/15000], training loss: 0.0561
[14424/15000], training loss: 0.0502
[14432/15000], training loss: 0.0746
[14440/15000], training loss: 0.0513
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14448/15000], training loss: 0.0586
[14456/15000], training loss: 0.0500
[14464/15000], training loss: 0.0493
[14472/15000], training loss: 0.0728
[14480/15000], training loss: 0.0785
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14488/15000], training loss: 0.0696
[14496/15000], training loss: 0.0554
[14504/15000], training loss: 0.0551
[14512/15000], training loss: 0.0478
[14520/15000], training loss: 0.0541
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14528/15000], training loss: 0.0814
[14536/15000], training loss: 0.0590
[14544/15000], training loss: 0.0569
[14552/15000], training loss: 0.0771
[14560/15000], training loss: 0.0491
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14568/15000], training loss: 0.0679
[14576/15000], training loss: 0.0517
[14584/15000], training loss: 0.0518
[14592/15000], training loss: 0.0662
[14600/15000], training loss: 0.0452
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14608/15000], training loss: 0.0515
[14616/15000], training loss: 0.0501
[14624/15000], training loss: 0.0719
[14632/15000], training loss: 0.0591
[14640/15000], training loss: 0.0894
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14648/15000], training loss: 0.0688
[14656/15000], training loss: 0.0545
[14664/15000], training loss: 0.0581
[14672/15000], training loss: 0.0641
[14680/15000], training loss: 0.0804
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14688/15000], training loss: 0.0501
[14696/15000], training loss: 0.0566
[14704/15000], training loss: 0.0688
[14712/15000], training loss: 0.0454
[14720/15000], training loss: 0.0604
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14728/15000], training loss: 0.0693
[14736/15000], training loss: 0.0503
[14744/15000], training loss: 0.0510
[14752/15000], training loss: 0.0567
[14760/15000], training loss: 0.0656
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14768/15000], training loss: 0.0438
[14776/15000], training loss: 0.0477
[14784/15000], training loss: 0.0737
[14792/15000], training loss: 0.0522
[14800/15000], training loss: 0.0793
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14808/15000], training loss: 0.0545
[14816/15000], training loss: 0.0673
[14824/15000], training loss: 0.0594
[14832/15000], training loss: 0.0462
[14840/15000], training loss: 0.0554
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14848/15000], training loss: 0.0518
[14856/15000], training loss: 0.0539
[14864/15000], training loss: 0.0593
[14872/15000], training loss: 0.0866
[14880/15000], training loss: 0.0551
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14888/15000], training loss: 0.0730
[14896/15000], training loss: 0.0574
[14904/15000], training loss: 0.0623
[14912/15000], training loss: 0.0660
[14920/15000], training loss: 0.1100
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14928/15000], training loss: 0.0517
[14936/15000], training loss: 0.0517
[14944/15000], training loss: 0.0601
[14952/15000], training loss: 0.0675
[14960/15000], training loss: 0.0561
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
[14968/15000], training loss: 0.0497
[14976/15000], training loss: 0.0500
[14984/15000], training loss: 0.0866
[14992/15000], training loss: 0.0735
[15000/15000], training loss: 0.0662
model saved to ../results/AVD/AVD_Home_010_1_traj8/model_best.pth
